order_id,customer,gross_amount,order_date,status
ORD1001,Lakshmi Narayan,247.10,2026-07-18,paid
ORD1002,Rahul Iyer,499.02,2026-07-02,paid
ORD1003,Priya Menon,2998.69,2026-07-18,paid
ORD1004,Anjali Gupta,249.92,2026-08-04,partial_refund
ORD1005,Karthik Subramanian,3000.34,2026-07-11,paid
ORD1006,Priya Menon,1498.52,2026-08-10,paid
ORD1007,Divya Krishnan,997.26,2026-08-06,paid
ORD1008,Suresh Babu,1999.16,2026-08-07,paid
ORD1009,Nikhil Shah,247.61,2026-07-11,paid
ORD1010,Nikhil Shah,249.72,2026-07-08,paid
ORD1011,Suresh Babu,2998.05,2026-08-02,paid
ORD1012,Arjun Kumar,4997.65,2026-08-03,paid
ORD1013,Rahul Iyer,2000.79,2026-07-06,paid
ORD1014,Meera Pillai,4999.43,2026-07-14,paid
ORD1015,Meera Pillai,1497.48,2026-07-15,refunded
ORD1016,Vikram Nair,1997.95,2026-08-12,paid
ORD1017,Vikram Nair,2998.72,2026-07-28,paid
ORD1018,Vikram Nair,497.77,2026-08-04,paid
ORD1019,Meera Pillai,4997.06,2026-07-06,paid
ORD1020,Ananya Rao,1498.06,2026-07-30,paid
ORD1021,Rohan Varma,2999.17,2026-07-21,refunded
ORD1022,Lakshmi Narayan,4997.94,2026-07-08,paid
ORD1023,Arjun Kumar,997.82,2026-08-15,paid
ORD1024,Rohan Varma,2000.98,2026-07-05,paid
ORD1025,Karthik Subramanian,4999.17,2026-07-20,paid
ORD1026,Priya Menon,997.46,2026-07-07,paid
ORD1027,Sneha Pillai,4997.20,2026-08-10,paid
ORD1028,Meera Pillai,2998.71,2026-07-01,partial_refund
ORD1029,Rahul Iyer,4997.65,2026-07-12,paid
ORD1030,Anjali Gupta,2997.43,2026-07-03,paid
ORD1031,Rahul Iyer,1498.31,2026-07-05,paid
ORD1032,Sneha Pillai,499.32,2026-07-17,refunded
ORD1033,Anjali Gupta,1999.75,2026-08-12,paid
ORD1034,Lakshmi Narayan,1498.30,2026-08-14,paid
ORD1035,Sneha Pillai,1499.19,2026-07-01,paid
ORD1036,Anjali Gupta,4999.94,2026-08-12,partial_refund
ORD1037,Karthik Subramanian,2000.40,2026-07-05,paid
ORD1038,Suresh Babu,250.57,2026-07-07,paid
ORD1039,Anjali Gupta,1499.67,2026-08-05,paid
ORD1040,Priya Menon,3000.45,2026-07-29,paid
ORD1041,Suresh Babu,997.94,2026-07-22,paid
ORD1042,Divya Krishnan,999.17,2026-07-27,refunded
ORD1043,Nikhil Shah,1499.15,2026-08-04,paid
ORD1044,Nikhil Shah,1500.68,2026-08-09,paid
ORD1045,Lakshmi Narayan,1497.54,2026-07-30,paid
ORD1046,Nikhil Shah,1498.01,2026-07-06,paid
ORD1047,Rahul Iyer,500.36,2026-08-09,paid
ORD1048,Priya Menon,1999.43,2026-08-15,partial_refund
ORD1049,Anjali Gupta,1000.40,2026-08-08,paid
ORD1050,Lakshmi Narayan,997.05,2026-07-27,paid
ORD1051,Meera Pillai,2998.08,2026-08-04,paid
ORD1052,Karthik Subramanian,500.00,2026-08-06,paid
ORD1053,Arjun Kumar,1000.52,2026-08-14,paid
ORD1054,Rahul Iyer,2998.90,2026-08-15,paid
ORD1055,Meera Pillai,1998.38,2026-08-05,paid
ORD1056,Meera Pillai,4999.76,2026-07-13,paid
ORD1057,Sneha Pillai,498.44,2026-07-20,refunded
ORD1058,Arjun Kumar,500.86,2026-07-17,paid
ORD1059,Anjali Gupta,2000.80,2026-07-06,paid
ORD1060,Karthik Subramanian,1000.44,2026-07-28,paid
ORD1061,Vikram Nair,497.96,2026-08-05,refunded
ORD1062,Lakshmi Narayan,1999.64,2026-07-13,paid
ORD1063,Nikhil Shah,2000.68,2026-07-29,partial_refund
ORD1064,Anjali Gupta,4997.70,2026-08-03,paid
ORD1065,Divya Krishnan,998.28,2026-07-07,paid
ORD1066,Vikram Nair,998.01,2026-07-08,paid
ORD1067,Nikhil Shah,1998.85,2026-07-04,paid
ORD1068,Sneha Pillai,1500.52,2026-08-01,partial_refund
ORD1069,Nikhil Shah,1500.92,2026-07-16,paid
ORD1070,Anjali Gupta,4998.66,2026-08-02,paid
